index,sex,area,effective_sample_size,data_type,value,standard_error,age_start,age_end,year_start,year_end
342,female,Netherland,1865.0,p,0.00482573726541555,0.0016046931045920665,65,74,1990,1993
343,,Netherland,2301.0,p,0.023902651021295088,0.003184280319639181,75,84,1990,1993
344,male,Netherland,796.0,p,0.02386934673366834,0.0054102546661858025,75,84,1990,1993
345,female,Netherland,1505.0,p,0.023920265780730896,0.003938740769287553,75,84,1990,1993
346,,Netherland,1006.0,p,0.073558648111332,0.008230511858121896,85,98,1990,1993
347,male,Netherland,191.0,p,0.06806282722513089,0.01822349308980016,85,98,1990,1993
348,female,Netherland,815.0,p,0.07484662576687116,0.009217521883157359,85,98,1990,1993
349,,Netherland,9774.0,p,0.006036423163494987,0.0007834998294177133,55,98,1990,1993
350,male,Netherland,3787.0,p,0.006073409030895168,0.0012625418062072536,55,98,1990,1993
351,female,Netherland,5987.0,p,0.0060130282278269605,0.000999153785885867,55,98,1990,1993
352,,Netherland,3220.0,p,0.0009316770186335405,0.0005376533427275561,55,64,1990,1993
353,male,Netherland,1418.0,p,0.002115655853314528,0.001220181682472075,55,64,1990,1993
354,female,Netherland,1802.0,p,0.0,0.0,55,64,1990,1993
355,,Netherland,3247.0,p,0.004003695719125347,0.0011082002683795316,65,74,1990,1993
356,male,Netherland,1382.0,p,0.005788712011577425,0.00204068651809647,65,74,1990,1993
