index,sex,area,effective_sample_size,data_type,value,standard_error,age_start,age_end,year_start,year_end
5225,,DEU,1040.0,p,0.07211538461538461,0.008021291134150878,70,95,2013,2015
5230,,DEU,1040.0,p,0.07211538461538461,0.008021291134150878,70,95,2013,2015
5248,male,JPN,160.0,p,0.0,0.0,35,49,2012,2015
5249,male,JPN,385.0,p,0.0,0.0,50,59,2012,2015
5250,male,JPN,955.0,p,0.0010471204188481676,0.0010465720446713347,60,69,2012,2015
5251,male,JPN,315.0,p,0.0031746031746031746,0.003169560116336297,70,74,2012,2015
5252,male,JPN,1815.0,p,0.0011019283746556473,0.000778751606930153,35,74,2012,2015
5253,female,JPN,150.0,p,0.0,0.0,35,49,2012,2015
5254,female,JPN,409.0,p,0.0,0.0,50,59,2012,2015
5255,female,JPN,1217.0,p,0.0,0.0,60,69,2012,2015
5256,female,JPN,397.0,p,0.0,0.0,70,74,2012,2015
5257,female,JPN,2173.0,p,0.0,0.0,35,74,2012,2015
5258,,JPN,310.0,p,0.0,0.0,35,49,2012,2015
5259,,JPN,794.0,p,0.0,0.0,50,59,2012,2015
5260,,JPN,2172.0,p,0.0004604051565377533,0.00046029915788168337,60,69,2012,2015
5261,,JPN,712.0,p,0.001404494382022472,0.001403507733230507,70,74,2012,2015
5262,,JPN,3988.0,p,0.0005015045135406219,0.0003545283100950567,35,74,2012,2015
5293,male,JPN,160.0,p,0.0,0.0,35,49,2012,2015
