index,sex,area,effective_sample_size,data_type,value,standard_error,age_start,age_end,year_start,year_end
3661,female,ISL,3012,p,0.0351925630810093,0.0033575175104434557,66,91,2002,2006
3662,,ISL,530,p,0.005660377358490566,0.003258758151779993,66,69,2002,2006
3663,male,ISL,194,p,0.005154639175257732,0.005141336858435796,66,69,2002,2006
3664,female,ISL,336,p,0.005952380952380952,0.004196423545774639,66,69,2002,2006
3665,,ISL,1582,p,0.010113780025284451,0.0025156264446262767,70,74,2002,2006
3666,male,ISL,685,p,0.00583941605839416,0.002911170852942772,70,74,2002,2006
3667,female,ISL,897,p,0.013377926421404682,0.003835955795229169,70,74,2002,2006
3668,,ISL,1532,p,0.024151436031331592,0.00392223228729592,75,79,2002,2006
3669,male,ISL,687,p,0.01455604075691412,0.0045694005407589475,75,79,2002,2006
3670,female,ISL,845,p,0.030769230769230767,0.005940781253496394,75,79,2002,2006
3671,,ISL,1192,p,0.061241610738255035,0.006944837531042978,80,84,2002,2006
3672,male,ISL,502,p,0.06374501992031872,0.010903560619112235,80,84,2002,2006
3673,female,ISL,690,p,0.05942028985507247,0.008999961272751753,80,84,2002,2006
3674,,ISL,436,p,0.1146788990825688,0.015259802774148647,85,91,2002,2006
3675,male,ISL,192,p,0.11458333333333333,0.022987087980669032,85,91,2002,2006
3676,female,ISL,244,p,0.11475409836065575,0.02040427422979376,85,91,2002,2006
3677,,ISL,5272,p,0.02408952959028832,0.002111696244919133,66,91,2002,2006
3678,male,ISL,2260,p,0.02212389380530973,0.003093986969342416,66,91,2002,2006
3679,female,ISL,3012,p,0.0249003984063745,0.0028392272440143805,66,91,2002,2006
3680,,ISL,530,p,0.0018867924528301887,0.0018850116195378481,66,69,2002,2006
3681,male,ISL,194,p,0.002577319587628866,0.003640180274348105,66,69,2002,2006
3682,female,ISL,336,p,0.002976190476190476,0.002971758321123438,66,69,2002,2006
3683,,ISL,1582,p,0.0050568900126422255,0.0017833543225403367,70,74,2002,2006
3684,male,ISL,685,p,0.00291970802919708,0.0020615292085477133,70,74,2002,2006
3685,female,ISL,897,p,0.006688963210702341,0.002721609502711372,70,74,2002,2006
3686,,ISL,1532,p,0.018929503916449087,0.0034816919334244656,75,79,2002,2006
3687,male,ISL,687,p,0.01892285298398836,0.005198361994131436,75,79,2002,2006
3688,female,ISL,845,p,0.01893491124260355,0.004688697271645298,75,79,2002,2006
3689,,ISL,1192,p,0.05201342281879195,0.006431624536805419,80,84,2002,2006
3690,male,ISL,502,p,0.043824701195219126,0.009136426891044231,80,84,2002,2006
3691,female,ISL,690,p,0.05797101449275361,0.008896374116592049,80,84,2002,2006
3692,,ISL,436,p,0.07568807339449543,0.012667174668540494,85,91,2002,2006
3693,male,ISL,192,p,0.08854166666666667,0.02050178345018575,85,91,2002,2006
3694,female,ISL,244,p,0.06557377049180327,0.015846840083639416,85,91,2002,2006
3695,,THA,10888,p,0.027002204261572373,0.0015533934915835195,50,95,2006,2007
3696,,THA,4887,p,0.019234704317577244,0.001964735682973092,50,59,2006,2007
3697,,THA,3502,p,0.03340948029697316,0.003036673186948914,60,69,2006,2007
3698,,THA,2034,p,0.03638151425762045,0.004151618826198371,70,79,2006,2007
3699,,THA,465,p,0.01935483870967742,0.006388872875537945,80,95,2006,2007
3700,,THA,10888,p,0.002479794268919912,0.0004766445379416117,50,95,2006,2007
3701,,THA,4887,p,0.0010231225700838961,0.0004573201962263478,50,59,2006,2007
3702,,THA,3502,p,0.002284408909194746,0.0008067374744567425,60,69,2006,2007
3703,,THA,2034,p,0.0039331366764995095,0.0013878364549736847,70,79,2006,2007
3704,,THA,465,p,0.012903225806451613,0.005233624244412039,80,95,2006,2007
3705,,THA,10888,p,0.00183688464364438,0.00041036247870414197,50,95,2006,2007
3706,,THA,10888,p,0.0006429096252755327,0.00024291887259659037,50,95,2006,2007
3707,,THA,10888,p,0.027002204261572373,0.0015533934915835195,50,95,2006,2007
3708,,THA,4887,p,0.019234704317577244,0.001964735682973092,50,59,2006,2007
3709,,THA,3502,p,0.03340948029697316,0.003036673186948914,60,69,2006,2007
3710,,THA,2034,p,0.03638151425762045,0.004151618826198371,70,79,2006,2007
3711,,THA,465,p,0.01935483870967742,0.006388872875537945,80,95,2006,2007
3712,,THA,10888,p,0.002479794268919912,0.0004766445379416117,50,95,2006,2007
3713,,THA,4887,p,0.0010231225700838961,0.0004573201962263478,50,59,2006,2007
3714,,THA,3502,p,0.002284408909194746,0.0008067374744567425,60,69,2006,2007
3715,,THA,2034,p,0.0039331366764995095,0.0013878364549736847,70,79,2006,2007
3716,,THA,465,p,0.012903225806451613,0.005233624244412039,80,95,2006,2007
3717,,THA,10888,p,0.00183688464364438,0.00041036247870414197,50,95,2006,2007
3718,,THA,10888,p,0.0006429096252755327,0.00024291887259659037,50,95,2006,2007
3719,,GBR,934,p,0.005353319057815846,0.002387660335296109,65,95,1997,1997
3720,,GBR,352,p,0.0014204545454545455,0.002007398852837102,65,69,1997,1997
3721,,GBR,341,p,0.0029325513196480947,0.002928248233955734,70,74,1997,1997
3722,,GBR,241,p,0.016597510373443983,0.008229597687803533,75,95,1997,1997
3723,,GBR,934,p,0.005353319057815846,0.002387660335296109,65,95,1997,1997
3724,,GBR,352,p,0.0014204545454545455,0.002007398852837102,65,69,1997,1997
3725,,GBR,341,p,0.0029325513196480947,0.002928248233955734,70,74,1997,1997
3726,,GBR,241,p,0.016597510373443983,0.008229597687803533,75,95,1997,1997
3727,,SGP,3172,p,0.06399747793190416,0.0043456360373872426,40,99,2005,2006
3728,,SGP,3172,p,0.002522068095838588,0.0008905605706517328,40,99,2005,2006
3729,,SGP,3172,p,0.06399747793190416,0.0043456360373872426,40,99,2005,2006
3730,,SGP,3172,p,0.002522068095838588,0.0008905605706517328,40,99,2005,2006
3731,female,NOR,603,p,0.5671641791044776,0.0201770345884815,65,69,2009,2010
3732,female,NOR,398,p,0.6206030150753769,0.02432273130587332,70,74,2009,2010
3733,female,NOR,288,p,0.6215277777777778,0.028579263511790708,75,79,2009,2010
3734,female,NOR,175,p,0.6742857142857143,0.03542593801931157,80,87,2009,2010
3735,male,NOR,365,p,0.5178082191780822,0.02615459137930415,65,69,2009,2010
3736,male,NOR,365,p,0.5506849315068493,0.02603638327460859,70,74,2009,2010
3737,male,NOR,234,p,0.6452991452991453,0.03127546199453382,75,79,2009,2010
3738,male,NOR,111,p,0.6306306306306306,0.0458095979499245,80,87,2009,2010
3739,,NOR,968,p,0.5475206611570248,0.01599786229143966,65,69,2009,2010
3740,,NOR,763,p,0.5858453473132372,0.01783242868771894,70,74,2009,2010
3741,,NOR,522,p,0.632183908045977,0.02110580055248076,75,79,2009,2010
3742,,NOR,286,p,0.5909090909090909,0.02907282495758324,80,87,2009,2010
3743,female,NOR,1464,p,0.605191256830601,0.012775242864629707,65,87,2009,2010
3744,male,NOR,1075,p,0.5683720930232559,0.015106605882800097,65,87,2009,2010
3745,,NOR,2539,p,0.5813312327688066,0.009790745454975438,65,87,2009,2010
3746,,NOR,976,p,0.0030737704918032786,0.0017719127003295442,65,69,2009,2010
